runId,status,seconds,gap,nodes,incumbent,bound
pricing-n020-set01-m2-random-base-n1-wzero-ng_dssr,ROOT_PROCESSED,1.319185,0.000000,1,34811.000000,34811.000000
pricing-n020-set01-m2-random-base-n1-wzero-time_indexed,FINISHED,4.346266,0.000000,5,34811.000000,34811.000000
pricing-n020-set01-m2-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,1.165294,0.000000,1,34811.000000,34811.000000
pricing-n020-set01-m3-random-base-n1-wzero-ng_dssr,ROOT_PROCESSED,0.854484,0.000000,1,25670.000000,25670.000000
pricing-n020-set01-m3-random-base-n1-wzero-time_indexed,ROOT_PROCESSED,0.502823,0.000000,1,25670.000000,25670.000000
pricing-n020-set01-m3-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,0.505555,0.000000,1,25670.000000,25670.000000
pricing-n020-set01-m4-random-base-n1-wzero-ng_dssr,ROOT_PROCESSED,0.676067,0.000000,1,21799.000000,21799.000000
pricing-n020-set01-m4-random-base-n1-wzero-time_indexed,ROOT_PROCESSED,0.384978,0.000000,1,21799.000000,21799.000000
pricing-n020-set01-m4-random-base-n1-wzero-time_indexed_sri,ROOT_PROCESSED,0.359264,0.000000,1,21799.000000,21799.000000
pricing-n020-set01-m2-random-base-n1-wnarrow-ng_dssr,FINISHED,1.993891,0.000000,5,25246.000000,25246.000000
pricing-n020-set01-m2-random-base-n1-wnarrow-time_indexed,FINISHED,4.402991,0.000000,5,25246.000000,25246.000000
pricing-n020-set01-m2-random-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,1.556835,0.000000,1,25246.000000,25246.000000
pricing-n020-set01-m3-random-base-n1-wnarrow-ng_dssr,ROOT_PROCESSED,0.864603,0.000000,1,16632.000000,16632.000000
pricing-n020-set01-m3-random-base-n1-wnarrow-time_indexed,ROOT_PROCESSED,0.402864,0.000000,1,16632.000000,16632.000000
pricing-n020-set01-m3-random-base-n1-wnarrow-time_indexed_sri,ROOT_PROCESSED,0.430891,0.000000,1,16632.000000,16632.000000
pricing-n020-set01-m4-random-base-n1-wnarrow-ng_dssr,FINISHED,2.306787,0.000000,13,13073.000000,13073.000000
pricing-n020-set01-m4-random-base-n1-wnarrow-time_indexed,FINISHED,2.242285,0.000000,15,13073.000000,13073.000000
pricing-n020-set01-m4-random-base-n1-wnarrow-time_indexed_sri,FINISHED,2.067569,0.000000,7,13073.000000,13073.000000
pricing-n020-set01-m2-random-base-n1-wwide-ng_dssr,FINISHED,3.177352,0.000000,10,11709.000000,11709.000000
pricing-n020-set01-m2-random-base-n1-wwide-time_indexed,FINISHED,6.702242,0.000000,10,11709.000000,11709.000000
pricing-n020-set01-m2-random-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,2.236885,0.000000,1,11709.000000,11709.000000
pricing-n020-set01-m3-random-base-n1-wwide-ng_dssr,FINISHED,2.237417,0.000000,7,6746.000000,6746.000000
pricing-n020-set01-m3-random-base-n1-wwide-time_indexed,FINISHED,3.821813,0.000000,8,6746.000000,6746.000000
pricing-n020-set01-m3-random-base-n1-wwide-time_indexed_sri,ROOT_PROCESSED,1.632034,0.000000,1,6746.000000,6746.000000
pricing-n020-set01-m4-random-base-n1-wwide-ng_dssr,FINISHED,2.423824,0.000000,12,5501.000000,5501.000000
pricing-n020-set01-m4-random-base-n1-wwide-time_indexed,FINISHED,2.338459,0.000000,10,5501.000000,5501.000000
pricing-n020-set01-m4-random-base-n1-wwide-time_indexed_sri,FINISHED,2.188428,0.000000,5,5501.000000,5501.000000
pricing-n020-set01-m2-random-medium-n10-wzero-ng_dssr,ROOT_PROCESSED,3.134008,0.000000,1,270455.000000,270455.000000
