instance	n	m	theta	clusterCount	clusterSizes	nontrivialClusterCount	setupOnlySilhouette	maximumClusterShare	singletonJobShare	meanIntraClusterSetup	meanInterClusterSetup	interIntraSetupRatio	mstCutThreshold
experiment-suite/formal/instances/data/n040-set01/family/base/zero/m4.dat	40	4	0.500000	3	[14, 13, 13]	3	0.786359	0.350000	0.000000	7.234818	34.012195	4.701182	0.239045
experiment-suite/formal/instances/data/n040-set01/random/base/zero/m4.dat	40	4	0.500000	14	[21, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]	5	0.045537	0.525000	0.225000	20.769406	27.399287	1.319214	0.397572
experiment-suite/formal/instances/data/n040-set02/family/base/zero/m4.dat	40	4	0.500000	3	[14, 13, 13]	3	0.788512	0.350000	0.000000	7.714575	36.666041	4.752827	0.239412
experiment-suite/formal/instances/data/n040-set02/random/base/zero/m4.dat	40	4	0.500000	14	[26, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	2	-0.027184	0.650000	0.300000	23.648773	30.265419	1.279788	0.405749
experiment-suite/formal/instances/data/n040-set03/family/base/zero/m4.dat	40	4	0.500000	3	[14, 13, 13]	3	0.789062	0.350000	0.000000	7.212551	34.361163	4.764079	0.222919
experiment-suite/formal/instances/data/n040-set03/random/base/zero/m4.dat	40	4	0.500000	13	[24, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	3	0.017142	0.600000	0.250000	21.863958	27.981891	1.279818	0.364141
experiment-suite/formal/instances/data/n040-set04/family/base/zero/m4.dat	40	4	0.500000	3	[14, 13, 13]	3	0.787107	0.350000	0.000000	6.336032	29.839587	4.709507	0.229922
experiment-suite/formal/instances/data/n040-set04/random/base/zero/m4.dat	40	4	0.500000	14	[27, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	1	-0.052074	0.675000	0.325000	19.158120	25.052448	1.307667	0.379478
experiment-suite/formal/instances/data/n040-set05/family/base/zero/m4.dat	40	4	0.500000	3	[14, 13, 13]	3	0.786245	0.350000	0.000000	6.886640	32.491557	4.718057	0.243988
experiment-suite/formal/instances/data/n040-set05/random/base/zero/m4.dat	40	4	0.500000	13	[27, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	2	-0.074517	0.675000	0.275000	21.745739	26.559579	1.221369	0.406705
