runId	mainClass	args	outputDir
pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-baseline	experiments.MidpointMeanExperiment	baseline --action="solve" --runId="pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-baseline" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m4-random-base-n1-wzero.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-baseline
pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-mean	experiments.MidpointMeanExperiment	mean --action="solve" --runId="pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m4.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-mean" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m4-random-base-n1-wzero.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m4-random-base-n1-wzero-ng_dssr-mean
pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-mean	experiments.MidpointMeanExperiment	mean --action="solve" --runId="pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/narrow/m5.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-mean" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m5-random-base-n1-wnarrow.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-mean
pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-baseline	experiments.MidpointMeanExperiment	baseline --action="solve" --runId="pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/narrow/m5.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-baseline" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m5-random-base-n1-wnarrow.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m5-random-base-n1-wnarrow-ng_dssr-baseline
pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-baseline	experiments.MidpointMeanExperiment	baseline --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/narrow/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-baseline" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wnarrow.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-baseline
pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-mean	experiments.MidpointMeanExperiment	mean --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/narrow/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-mean" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wnarrow.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wnarrow-ng_dssr-mean
pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-mean	experiments.MidpointMeanExperiment	mean --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/wide/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-mean" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wwide.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-mean
pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-baseline	experiments.MidpointMeanExperiment	baseline --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/wide/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-baseline" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wwide.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wwide-ng_dssr-baseline
pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-baseline	experiments.MidpointMeanExperiment	baseline --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-baseline" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wzero.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-baseline
pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-mean	experiments.MidpointMeanExperiment	mean --action="solve" --runId="pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr" --instance="D:/ccx/work1/instances/no_outsourcing/data/n080-set01/random/base/zero/m3.dat" --algorithm="NG_DSSR" --outputDir="D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-mean" --seedFile="D:/ccx/work1/experiments/20260907-formal-n80-n100/seeds/n080-set01-m3-random-base-n1-wzero.seed" --timeLimitSeconds="18000" --maxNodes="100000" --enableClusterBranching="false" --structuredArcStrictTypePriority="false"	D:/ccx/work1/experiments/20260908-midpoint-mean-ab/runs/pricing-n080-set01-m3-random-base-n1-wzero-ng_dssr-mean
