100 5
1691 7430 19130 8 4
1530 4949 17371 2 3
1472 13332 26124 8 10
1152 9222 21938 2 7
1820 5723 18145 7 6
1750 10345 22625 10 7
18 6713 18863 2 4
756 2661 14107 2 8
1445 1370 12610 9 2
100 13383 25003 7 10
1080 18599 29851 6 7
616 3591 14889 9 8
748 17415 30087 4 8
1116 12559 23829 2 2
442 4470 16848 6 1
273 13896 26544 1 1
1197 17168 28990 2 8
1078 18367 30933 8 8
216 2101 13667 8 9
234 2144 14686 4 7
900 1964 14716 5 5
575 10330 21830 9 4
960 4457 15853 8 2
1380 11447 22703 4 2
360 15757 27803 4 9
2112 6164 18784 6 9
1280 5175 17549 3 3
1564 8665 20591 1 10
34 21082 33398 5 2
171 19656 32344 5 7
1241 16329 27991 9 4
1771 5445 17709 2 10
1992 8198 19610 7 5
1056 11225 24007 6 7
1620 4340 17054 2 5
1400 1471 12809 6 3
1008 12720 24816 10 5
1805 19348 31402 10 3
304 9574 21264 8 7
816 4025 16423 9 3
954 4003 16205 9 7
897 18631 29901 8 10
1364 6492 18294 3 5
1025 13496 25224 10 1
1606 10516 22940 2 9
1242 13248 25392 4 9
2070 9288 21012 9 2
552 12963 24505 2 8
912 2259 15033 2 1
1170 9002 20318 10 10
946 4187 16043 1 1
810 17301 29949 2 10
525 15952 27794 1 3
1518 11820 24580 8 6
1806 6536 18350 7 6
1702 5140 17540 6 10
784 3250 15290 8 4
1488 15358 28114 5 3
975 20277 31851 10 8
1728 8608 20252 5 10
253 13283 24865 6 7
836 4887 17649 3 7
850 3192 15672 6 10
216 9138 20462 1 8
84 13525 24931 6 4
1150 15062 26694 3 10
2254 19962 32598 10 7
992 5793 18447 8 9
1254 17444 28924 7 4
1518 4604 16312 2 10
400 14807 26101 9 9
828 2412 14004 3 3
1533 12683 24437 6 1
888 10022 22738 9 3
1482 10256 22114 2 8
585 17066 28582 6 4
1332 14146 26138 5 10
384 5840 17164 2 7
1656 4808 16816 9 10
176 6214 18396 8 3
275 16087 27563 8 7
800 5002 16688 10 5
1332 4021 16537 1 2
63 9244 21508 7 8
1890 15351 27285 9 9
2150 4361 15665 4 6
935 2966 15370 7 9
506 10458 22184 10 6
1000 14203 26495 8 4
198 8997 20787 6 10
720 16939 28693 3 9
960 12228 23532 3 8
285 17130 29862 7 8
885 10852 22474 10 5
1748 8332 20464 10 4
1440 7985 19663 2 10
1029 15733 27659 9 1
1728 7673 20181 10 1
1060 7333 19025 2 4
714 12782 24754 7 8
SETUP
0 123 21 103 103 103 103 123 103 143 123 123 82 164 62 123 82 103 143 103 62 103 164 62 123 143 123 143 164 143 82 103 123 103 184 62 82 123 103 123 143 103 143 123 21 164 143 143 123 143 123 123 164 62 82 143 164 103 123 164 143 82 41 82 164 103 82 103 103 143 143 123 123 143 41 82 143 62 82 143 41 82 123 123 103 164 123 103 184 123 143 82 143 123 123 82 143 143 41 103 123
0 0 613 164 143 613 572 613 613 551 613 633 674 572 592 123 613 123 613 613 82 654 592 613 674 613 613 592 654 633 633 592 572 592 633 551 592 531 613 205 103 613 143 613 633 613 633 164 613 592 531 592 694 572 592 572 592 531 592 613 572 572 592 164 592 531 143 572 572 592 123 613 613 592 613 103 613 613 613 551 592 633 592 592 551 654 613 633 143 531 633 123 613 592 633 572 572 551 613 572 613
0 633 0 592 572 592 613 572 633 613 143 613 184 654 511 613 613 613 592 551 592 613 613 511 613 633 592 143 674 592 531 613 613 613 633 511 551 592 103 572 613 613 613 613 613 654 633 633 592 143 592 613 654 143 613 123 613 592 164 613 592 62 592 551 613 123 572 592 551 613 592 613 613 592 613 592 592 511 103 613 551 613 572 572 613 674 572 572 633 613 592 551 592 164 123 531 123 633 103 551 123
0 205 572 0 103 551 592 572 613 551 613 592 674 633 511 143 592 143 613 572 103 633 572 572 654 613 551 633 654 572 572 592 633 572 613 551 592 592 572 184 164 613 164 613 633 531 592 184 572 633 572 592 654 531 633 572 613 572 613 613 551 551 511 123 613 572 123 531 592 613 164 613 633 551 613 103 592 531 592 633 572 613 572 613 572 654 613 551 123 572 633 41 551 613 654 572 551 613 592 572 572
0 184 551 123 0 613 613 592 654 613 613 592 674 613 490 143 633 123 633 551 123 592 613 490 633 613 572 613 674 572 592 592 654 613 654 551 572 572 551 143 82 592 143 613 613 654 633 184 572 654 572 592 654 592 613 592 613 572 613 592 572 511 592 103 592 572 103 613 613 613 82 592 633 592 572 123 613 551 572 633 551 633 592 592 613 654 613 531 164 592 613 62 613 613 613 613 572 613 551 592 572
0 613 592 572 613 0 551 572 613 531 613 613 654 572 572 572 592 572 572 82 531 592 572 613 143 572 592 572 674 143 531 572 164 572 164 41 572 511 613 613 551 123 592 592 592 592 592 613 592 592 41 572 572 551 592 613 123 511 572 592 82 531 572 613 103 511 572 490 572 572 572 592 592 572 103 551 572 511 551 613 551 613 103 572 551 633 572 592 592 531 592 531 592 572 613 103 531 62 592 82 531
0 654 551 654 613 592 0 633 654 164 613 633 674 654 592 592 551 592 184 592 572 143 143 531 654 654 633 592 674 633 143 592 633 613 674 490 592 613 592 592 654 633 592 633 62 674 572 633 633 674 613 613 674 592 143 633 613 592 613 225 592 592 592 613 654 613 592 613 143 613 613 164 613 613 531 572 184 103 633 613 551 103 613 572 613 551 123 633 633 143 633 592 184 592 613 592 592 633 592 551 592
0 654 531 572 613 572 531 0 633 551 511 633 592 143 103 592 143 572 613 592 592 613 633 572 654 633 531 613 143 592 572 41 633 143 613 511 531 143 592 613 572 572 613 103 551 633 592 572 103 654 613 572 164 531 613 592 531 143 592 633 592 551 41 592 613 613 592 123 531 511 551 551 82 511 551 572 572 551 551 613 551 592 613 123 82 613 551 613 633 551 633 551 572 592 572 511 592 613 592 572 572
0 633 654 613 633 572 654 654 0 613 654 225 694 654 633 654 674 613 674 633 613 633 654 164 694 205 164 613 694 592 613 613 613 654 674 511 184 592 654 551 633 633 654 592 633 205 143 654 613 694 592 205 654 633 654 654 674 592 654 654 613 613 613 654 654 592 654 572 633 184 633 592 633 164 613 633 654 592 654 123 143 654 654 592 633 205 613 205 674 613 205 613 633 654 572 633 613 613 674 633 613
0 633 592 572 633 633 143 572 592 0 613 613 633 592 613 592 613 551 123 531 613 103 123 572 654 572 551 613 633 592 143 551 633 531 633 531 551 592 572 633 572 613 572 551 164 633 613 633 572 633 592 613 633 572 123 613 613 592 613 164 551 490 551 592 592 592 551 613 103 592 592 82 613 572 613 511 62 143 551 613 531 143 572 551 613 654 103 572 613 123 613 511 123 613 613 551 551 572 613 592 572
0 654 62 592 592 613 592 592 592 511 0 633 184 613 551 592 633 572 613 572 572 613 613 551 633 613 592 143 654 551 572 572 592 572 613 551 551 592 143 613 551 592 613 551 613 654 633 531 572 184 592 572 654 143 613 143 633 572 123 633 592 62 592 572 613 123 551 633 592 633 572 551 511 592 592 551 572 551 103 592 551 572 613 551 511 654 572 592 633 592 613 551 592 123 62 572 123 572 123 531 103
0 613 613 613 613 613 592 654 103 613 592 0 633 592 613 633 633 592 551 613 613 633 613 143 592 184 103 613 674 592 633 592 592 613 633 572 123 572 592 613 572 633 531 531 633 164 103 592 613 633 572 164 613 572 633 511 613 572 633 613 613 633 592 654 592 572 613 613 572 123 572 531 613 103 633 592 613 633 613 164 123 613 613 531 592 143 551 184 674 592 164 613 613 633 613 572 613 613 613 511 572
0 613 82 551 551 592 551 572 592 531 41 531 0 551 551 531 592 572 592 551 531 592 572 551 592 592 551 103 633 572 572 572 613 572 613 531 511 511 21 613 551 531 551 511 551 592 572 551 592 143 511 511 613 103 613 82 551 490 62 592 551 82 572 613 572 41 572 572 572 572 572 531 531 551 531 551 572 531 62 592 531 572 572 531 531 592 551 592 592 531 613 572 592 62 82 551 82 531 62 551 103
0 572 572 551 551 613 572 143 531 592 572 613 633 0 82 531 123 572 592 511 572 592 592 551 613 633 572 490 164 572 572 103 551 123 613 511 551 82 592 613 592 531 531 103 551 613 572 531 103 633 551 511 143 490 592 613 613 103 531 511 572 551 103 613 490 551 572 123 551 592 531 551 62 592 531 572 572 531 531 592 531 531 592 123 123 592 551 592 613 551 613 572 613 531 531 572 572 572 531 572 572
0 633 531 572 531 613 592 123 633 613 613 613 674 143 0 613 164 572 613 531 572 592 592 531 654 633 572 613 184 551 613 123 633 123 654 551 551 143 592 592 592 633 613 164 633 633 633 633 103 633 613 613 164 592 592 613 613 143 613 572 572 511 123 551 613 613 551 143 613 613 592 592 164 572 613 592 633 572 551 613 531 633 592 123 184 674 592 531 613 592 633 531 592 613 613 592 572 633 592 613 613
0 205 551 164 184 592 613 633 633 551 511 654 674 654 592 0 674 123 674 613 123 613 654 592 674 633 633 654 694 572 613 613 633 613 654 592 592 613 613 123 123 633 143 592 633 694 633 103 572 694 592 613 674 613 633 613 674 613 613 674 633 572 633 164 654 613 123 592 592 654 164 592 551 633 633 123 613 592 613 633 592 613 633 592 551 531 613 633 225 613 633 123 613 613 572 572 633 613 613 572 613
0 633 551 572 572 633 592 143 633 551 592 613 674 184 103 551 0 592 613 572 572 531 613 572 613 633 592 654 184 613 572 123 633 143 654 551 592 123 572 633 633 551 633 123 572 633 654 633 143 654 592 531 164 531 592 633 592 123 551 613 592 572 123 572 633 592 592 143 592 592 613 592 143 592 551 572 592 551 551 613 551 490 572 143 143 613 613 613 633 592 572 572 633 551 633 592 572 613 531 592 613
0 164 592 82 123 572 592 572 613 572 551 572 633 613 572 62 613 0 592 592 103 613 613 592 592 613 572 613 654 551 613 572 633 572 613 572 551 551 531 103 103 572 41 572 592 613 531 123 572 674 551 572 613 592 592 572 572 551 572 633 592 592 572 143 613 551 123 572 531 572 82 551 572 613 572 103 572 572 531 592 551 633 572 490 551 592 511 613 184 572 592 103 551 572 572 531 592 572 572 551 531
0 633 613 592 551 633 164 613 633 143 633 654 694 633 551 592 572 613 0 592 592 164 184 551 613 633 551 572 654 633 103 613 531 633 572 592 551 572 613 633 511 572 654 613 123 654 633 511 613 654 572 572 633 613 123 613 633 572 592 164 613 572 613 613 551 572 551 633 164 633 592 143 613 531 572 613 123 123 572 633 572 123 613 613 613 654 164 592 654 123 572 592 184 592 613 613 613 592 572 613 613
0 674 531 613 592 184 551 633 654 633 633 674 654 613 572 592 633 613 654 0 613 592 654 572 184 674 592 572 654 123 592 613 205 654 205 21 613 613 633 633 633 123 654 633 613 633 654 613 613 674 143 572 674 592 654 654 205 592 592 654 164 592 613 613 82 592 613 654 613 654 654 572 613 633 123 613 633 572 592 654 592 592 164 633 633 633 633 613 674 613 633 592 633 592 613 143 592 164 572 143 613
0 184 572 103 82 592 490 572 613 613 572 592 613 613 572 82 572 62 613 572 0 592 613 551 613 551 531 592 633 592 572 531 613 511 592 511 511 572 572 123 103 531 103 551 551 613 572 143 531 633 572 531 613 551 613 572 613 572 531 633 572 551 531 103 572 572 103 592 511 592 103 572 592 592 531 21 551 531 531 613 531 592 592 531 572 572 531 613 164 592 613 103 551 531 592 490 572 613 531 572 551
0 572 551 592 592 572 82 592 633 143 572 613 613 592 572 572 572 531 123 613 511 0 184 572 654 592 572 613 674 613 103 572 613 551 633 551 551 592 572 572 592 572 572 531 62 633 592 613 551 592 592 572 572 490 62 592 633 592 572 143 613 592 572 592 592 592 592 572 82 633 592 62 592 572 551 531 62 103 572 613 551 123 633 551 592 613 103 613 674 123 511 572 103 572 572 531 572 613 572 572 551
0 633 572 572 572 592 103 531 592 21 572 551 592 572 572 551 551 551 103 531 551 123 0 572 613 572 572 592 633 613 123 551 613 531 592 531 531 531 511 633 572 551 572 551 103 613 613 613 531 654 531 531 633 572 123 531 572 531 551 143 572 511 551 572 572 531 551 551 103 551 592 82 592 572 551 511 62 82 551 613 531 41 572 551 572 613 103 572 613 82 572 511 41 551 613 572 572 551 531 531 592
0 674 613 613 613 613 613 613 184 592 633 123 674 613 613 592 633 592 613 592 592 633 633 0 613 143 143 633 654 654 572 613 654 633 674 551 103 572 551 674 613 592 613 633 592 184 184 674 633 633 572 103 674 613 633 592 613 551 592 654 613 572 613 633 592 572 613 613 613 164 633 572 654 164 572 613 613 531 592 184 103 613 613 592 592 184 613 164 654 572 164 572 654 592 654 613 613 592 531 572 633
0 592 633 613 572 82 592 613 592 613 592 613 654 551 592 592 654 551 633 103 572 654 654 592 0 633 613 551 694 82 613 572 103 613 143 123 613 592 572 633 531 123 572 572 613 674 613 613 572 674 123 592 654 490 592 613 184 572 592 572 164 592 592 613 82 592 633 551 592 633 551 572 592 613 123 572 633 572 592 592 592 613 184 551 613 613 572 633 674 592 592 613 592 592 592 123 592 41 572 143 592
0 654 633 654 633 654 633 613 164 592 654 184 674 654 613 633 654 572 572 633 613 572 572 184 715 0 164 674 633 613 592 592 613 572 674 613 82 613 613 654 613 613 613 613 613 225 184 613 633 613 551 184 613 572 613 613 654 613 633 633 613 613 592 674 633 613 551 654 613 164 613 613 613 184 633 613 592 613 613 143 41 613 633 592 633 225 613 184 674 592 143 613 613 633 633 592 613 592 633 613 551
