  450
   60 18325     4     3
   52 16160     7    10
   44 18677     7     4
   34 18601     1     4
   75 18587    10     1
   69 18365     1     2
   75 15897     9    10
    7 17950     1     8
   50 19282     3     5
   80 19449     5    10
   87 19499     2     9
    1 16147    10     1
   12 18026     2     4
   94 19126     2    10
   94 16502     7     4
   36 16651    10     2
   76 20080     1     4
   17 18911     1    10
   24 18819     1     2
   68 17571     6     4
   46 19273     9     1
   49 19947    10     6
   83 18500     2     1
   81 19774     3     7
   73 19240     5     9
   41 16736     7     1
   12 16163    10    10
   45 17584     9     4
   72 15741     8     5
    7 19725     6     5
   68 19198     4     2
   31 18419     3     7
   59 15765     3     5
   11 17756    10     6
   65 16901     4     1
   34 18704     4     5
   80 16001    10     7
   39 17150     4    10
   40 16534     6     3
   29 19635     4     2
   19 16480     1     9
   26 15914     7     1
   29 15663     6     2
   30 18859     4     3
   19 19392    10    10
   22 16517     4     5
   65 19862     6     5
   95 19352     3     4
   39 19780     4     4
   88 18561     6     6
   62 16804     8     7
   84 18934     4     5
   37 18389     7     2
   45 19657     1     7
   65 18589     7     1
    9 17509     3    10
   85 16273     7     8
   76 19105     8     1
   53 19446     2     4
   57 16367     4     2
   83 18710     3     5
   20 18525     5     6
   88 19138     9     9
   42 18827     7     9
   31 16161     6     1
   52 15919     4     9
   75 17412     2     4
   10 16515     7     8
   91 17422     9     9
   15 18299     7     7
   38 16031     1     9
    9 18254     9     7
   40 18565     6     7
   67 16046     8    10
   39 16993     5    10
   59 17837     7     7
   88 16916     1     5
    4 16736    10     4
   53 17070     9    10
   26 16576     4     9
   92 19649     7    10
   15 18227     6     7
   10 19863    10     3
   28 17919     4     1
   60 17764     6     4
   75 18332     8     4
   36 19781     8     1
   45 18389     5     1
   51 17317     5     4
   89 19108     9     4
    1 19109    10     3
   34 15907     9     9
    9 17513     5     9
   88 18127     8     1
   75 19087     6     8
   39 18026     2    10
   40 18399     1    10
   50 16379     9     2
   49 18894     9     7
   30 15701    10     8
   64 19030     6     8
   86 19277     1     6
   39 18308    10     5
    4 17476     3     4
   52 19675     8     6
   78 19654     6     4
   63 19665     9    10
   40 16471     8    10
   81 16270     5     8
   15 16616     8    10
   66 17400     3     8
   73 15800     2     7
   30 19195     5     6
   75 17143     2     1
  100 18071     7     8
   90 16839     3     9
   50 19827     9     4
   36 17733     4     8
   34 19581     7    10
  100 17024     5     8
   24 16721     5     1
   34 18571     6     2
   33 17284     4     6
   33 18586     1    10
   22 16578     6     3
    8 16251     1     4
   72 16493     3    10
   61 19330     6     2
   57 16983     9     5
   20 19739     1     6
   91 19384     7    10
   21 15894     6     2
    5 18896     3     1
   30 17573     9     4
   24 17722     8     6
   57 18452    10     7
    7 17107     4     8
   86 17268     7     6
   96 19275     9     6
   88 17730     1     6
    1 18236     6     5
   61 16556     3     4
   61 17882     2     2
   31 17312     2    10
   36 18051     5     5
   60 15834     8    10
   20 18504     4     9
   85 17759     5     8
   96 17920     3     7
   53 17965     2     8
   84 19136    10     6
   19 18993     7     8
   87 16416     8    10
   17 16300     5     1
   52 17460     8     8
    9 17347     5     2
   24 16903     5     4
   23 18306    10     7
   70 16558    10     3
   80 18239     3     9
   42 17925     2     3
   60 15822     9     3
    1 18485     9     1
   47 16702     4     4
   90 17747     9     7
   24 16087     6     6
    3 19506     5    10
