  450
   10 17714     9     5
   36 18715     8     4
   19 16807     7     9
   82 19036    10     3
   52 18687     1     7
   33 17899     2     5
  100 17076     8     9
   53 19837     8    10
   11 19037     5     7
   76 18263     1     9
   40 17289     7     9
   42 19261     5     1
    7 18825     2     9
   29 17874     2     3
   20 18548     7     4
   37 18152     4     2
   89 16571     1     5
   36 17883     9     8
   64 18400     7     8
   90 16347     5     7
   88 15547     8     5
   90 19635     4     2
   58 16585     3     8
   48 15603     3     3
   13 17280     2     8
   82 17294     1    10
   10 18766     6     1
   97 16965    10     6
   41 19529     2     1
   80 17287     4     9
   46 16318     2     3
   51 17341     1     5
   16 16101     3     3
   64 17646     9     2
   32 16476     2     8
   68 19309     5     9
   96 15644     2     7
   32 18073     9     7
   20 19245     2     9
    6 19202     6     3
    7 16434     9     5
   60 16632     1     7
   48 18562    10     3
   14 19781     2     3
   88 19027     2     9
   67 17208     8     7
   51 18031     6     5
   76 15697     2     4
    3 19613     8     4
   14 16530     4     2
   66 16565     9     1
   90 19682     6     9
    4 16263     9     4
   23 17672     3     9
   38 19806     8     2
   17 18065     2     2
    5 19487     5     8
   48 18670     3     2
   13 19551     2     7
   45 19115     7     8
   28 16056     8     1
   59 15968     3    10
   95 16554     9     3
   44 16679     2     3
   22 18136     3     2
   27 17552    10    10
   11 16087     7     2
   18 18301     4     8
   58 15723     1     6
   30 19853    10     1
   23 17602     9     1
   65 16679     1     1
   90 16584    10     7
   71 16263    10     3
   79 16559     3     4
   77 15710     3     6
   37 17993    10    10
   29 19112    10     8
   53 15928     7    10
   40 17704     7     4
   43 15740     3    10
   18 17015     7     1
   30 17484     4     2
   47 16525     4     4
   41 19208     1     9
   67 17389     1     4
   63 19111     5     5
   45 18794     6     7
   15 16158     5     6
   76 18760     8     1
   89 18007     4     5
   43 16736     4     6
   34 19249     3     1
   84 19083     4     7
   86 17936     6     9
   56 17484     5     2
   11 16733     5     7
   96 18544     4     1
   73 15883     9     9
   69 16978     5     2
   26 18496     3     1
   96 18007     9     9
   33 18178     8     3
   15 19601     3     8
   66 18792     1     2
   11 19258    10     6
   92 19832     7     3
    3 16883     2     2
   40 18468     9     4
   44 15859     3     3
   42 19108     8     5
   82 18729     3     3
   62 17395     9     3
   71 16691     4     7
   28 19775     6     6
    2 16701     2     1
   38 18601     4     1
   90 18984     3    10
   46 15594     7     8
   53 19281     1     6
   65 17843    10     1
   35 18122     2     3
   95 16115     6     2
   99 17191     2     2
   19 17303     5    10
   80 18572     1    10
   54 19196     7     3
   29 18558     1     6
   75 17215     4     1
   27 19600     7     2
   97 15634     6     8
    1 15809     9     1
   23 17706     7     1
   29 18333     3    10
   15 15508     1     8
   88 16596     7     2
   40 17690     4     6
    7 19862     9     1
   90 18000     8     3
   79 16257     4     9
   51 15819     2     3
   32 17207     8     8
   60 19508     6     1
   12 17735     2     5
    3 18419     3     5
   88 19382     4     7
   14 18958     3     6
   40 17119     8     5
   78 18465     6     7
   59 19073     1     4
   92 16498     8    10
   42 16406     5     8
   94 17293     2     6
   86 17135     4     1
   41 18118     7     9
   12 19118     8     5
   66 15805     6     1
   95 17412     5     1
   40 17774     9    10
   40 17541     2     1
   21 17111     1     3
   36 17929     6     8
   41 17872    10     2
   43 19339     7     3
   65 16361    10     7
   56 17901     2     9
   31 16033     6     4
    5 18573     3     3
   62 17862    10    10
   21 18555     5     7
   84 19351     8     1
   12 18202     3     2
   53 15860     4     5
   44 18958     3     2
   23 16036     5     7
   55 18801     6     9
   31 18438     6     8
   37 19515     9     3
   94 16019     4     3
    8 17001     3     5
   96 18686     2     6
   86 17038     3     2
   50 17928     8     2
   89 16078     3     1
   72 18694     8     3
   90 16145     6    10
    1 19717     3     5
   37 19021     6     3
   85 18078     2     1
   40 17589     1     5
   77 16661     7     4
    6 19711     4     3
   76 15617     8     2
   17 19054     8     5
   48 19148     2     5
   41 16500     7     9
   72 17054     9     4
   79 19703     7     9
   46 19594     1     1
   34 19437    10     3
  100 18357     4     6
   29 19044     8     2
   45 17738     3     5
   52 18738     7    10
   72 18100     2     3
   68 18295     9     1
    6 17638     5     8
    2 16636    10     1
    4 17908     7     3
  100 18178    10    10
   10 18159     2     5
   99 16692     8     8
   85 19738     2     2
   59 16185     1     6
   88 17291     3     9
   57 18531     2     5
   49 16851     8     6
   88 17107     5     4
   93 17651     7     7
   33 19451     1     6
   28 19218     7     9
   70 18833     5     1
   38 19260     4     9
    3 19357     4    10
   87 17986     2     5
   86 18507     6     3
   44 15955     2     9
   59 19561    10     8
   65 18308     4     1
   89 15648     4    10
   92 19097     9     1
   64 16763     7     6
   17 19213     3     1
   36 16933     3     5
   15 15600     6     6
   89 17412     4     3
    4 19750     1     5
   20 17760     2     3
   90 18569     5     4
    7 17756     8     8
   19 16036     1     3
  100 16826     7     8
    6 18970     7     6
    4 15873     4     5
   58 17533     9     4
   93 16360     1     4
   61 18925     5     9
    7 18906     9     9
   81 17988     5     8
   54 16674     3     6
   39 18456     9     5
    8 17305     1     6
   23 15605     7     6
   77 17815     3     3
   10 16760     6     6
    9 18113     8    10
   62 16420    10     6
   54 17236     9     5
   67 17773     9     8
   26 19250     3     7
   42 17405     2     4
   58 16968    10     8
   89 16112     2     2
   59 16717     4     4
   94 18423     2     2
    4 16233     7     8
   47 18650    10     7
   97 18271     3     7
   23 18514     8    10
   37 17318     4    10
    4 16126     2     4
   42 19072    10     3
   36 18666     2     7
   10 19617     8    10
   46 19466     3     8
   94 16298     3     1
    3 16075     1     4
    6 18489    10     6
  100 19725     1    10
   83 18585     5     1
   59 19685     4     2
   39 18280     1     5
   90 15988     8     6
   82 19812     1     7
   15 16193     5     7
   99 17269     5     2
   90 18023    10     7
   76 17135     4     3
   53 19027     4     6
   57 15894     1     5
    2 16483     7     9
   94 16531     7     9
   15 17384    10     2
   91 17116    10     1
   53 17770     3     3
    9 15906     1     4
