20 2
215 745 7 5
20 1200 6 1
310 1620 4 4
602 1344 5 5
696 1112 7 8
1222 2548 6 1
220 869 1 1
360 1266 10 1
252 1458 10 10
576 1836 5 6
348 2136 9 7
1078 1554 5 9
553 1155 4 2
320 760 8 8
1248 1118 10 6
343 1253 5 5
297 2134 6 4
975 2925 9 2
552 654 6 3
444 1776 4 9
SETUP
0 101 81 71 71 61 31 91 101 51 91 91 101 81 81 91 91 121 81 91 111
0 0 81 381 91 361 411 111 341 341 361 371 391 131 361 381 371 401 381 371 71
0 81 0 321 101 361 341 71 331 301 331 301 371 81 341 351 301 321 351 341 71
0 391 371 0 371 81 91 301 341 101 71 321 71 341 351 81 361 341 341 351 371
0 91 101 351 0 371 381 61 321 351 311 341 311 101 311 331 381 361 331 321 81
0 321 381 61 351 0 71 321 361 41 51 351 41 331 301 61 371 351 321 311 341
0 351 381 41 371 41 0 331 381 31 71 361 71 361 331 71 341 381 351 331 361
0 111 91 371 81 341 351 0 381 351 381 381 331 121 361 401 381 351 331 341 81
0 381 381 351 391 341 381 361 0 381 381 101 371 361 81 381 121 111 91 91 391
0 341 351 81 351 101 131 341 401 0 41 361 111 371 321 51 371 371 331 321 351
0 341 341 51 321 71 101 311 371 51 0 331 71 351 281 21 351 341 301 291 321
0 391 331 341 371 351 351 331 101 351 341 0 381 341 71 351 51 31 91 81 331
0 341 361 101 381 101 131 361 401 61 61 381 0 391 341 81 391 371 361 351 381
0 61 71 321 51 341 341 31 371 331 341 301 351 0 341 301 341 321 311 291 51
0 361 361 321 331 341 371 301 91 341 301 71 351 341 0 321 71 61 21 11 321
0 321 381 51 311 51 101 311 351 31 51 361 61 381 321 0 391 371 311 321 331
0 381 391 341 351 341 321 361 121 321 351 61 351 391 81 351 0 91 91 91 341
0 381 361 331 361 381 381 351 101 371 321 71 391 331 51 341 101 0 71 51 361
0 361 351 371 311 321 351 281 71 361 341 91 341 371 71 351 101 81 0 61 301
0 381 371 311 321 331 371 301 91 371 351 81 351 341 81 361 71 51 21 0 321
0 61 101 361 71 301 361 71 331 341 341 361 331 71 321 351 391 361 341 321 0
