  200
   56  6373     2     3
   59  7160     7    10
   18  9153    10     7
   64  8729     7     8
   21  8692    10     1
   46  7665     8     7
   55  6129     8     2
   41  9854     8     6
   19  6011     3     2
   60  8825     7     2
   31  9420     7     1
   96  6827     6     3
   46  6583     1     2
   99  6789     6     2
   83  7690     1     4
   85  6181     2     8
    8  8447     6     3
   58  6312     2     5
   54  7926    10     5
   82  8977     1     1
   15  9050     3     8
   57  9655     2     2
    4  8200     7    10
   65  9049     2     8
   20  7935     4     9
   95  9394     9     8
   91  8134     6     2
   61  9640     8     8
   65  6415     2     4
   12  8536     4     1
   45  6020     9     9
   20  6815     3     7
   70  9722    10     1
   62  9199     9     6
   84  9571     1     4
   90  8456     1     1
    7  6906     8     2
   38  9726    10     6
   30  8351     8     7
   26  6943     2     4
   98  8593     9     8
   61  7813     4     8
   22  7797     9     7
   44  9203     9    10
   60  8628     1     9
    4  9513     9    10
   28  9410     3     7
   67  7117     7     2
   61  9851     2     5
   82  7378     2     1
   49  6135     7     2
   76  8942     4     2
   39  7074     6     2
   53  8362     5     2
   40  8033     6     9
   58  9036     9    10
   47  7797     4     9
   30  6208     1     1
   19  8717     8     8
   11  8239     7     3
   42  8771     4     1
   63  8763     7     6
   31  9081     1    10
   11  8535     5     2
   24  8003     5     2
   14  8693     3     4
    1  7033     5     2
   31  8936     4     3
   52  8460     2     9
   31  9411     2     9
   56  9906     5     7
   50  7095     2     6
   91  7265     7     6
   77  7744     3     3
   93  6339     1     5
   50  9920     9     5
   81  7298     3     3
   21  9776     3     1
   16  7078     5     6
   42  7191     5     7
    2  7195     6     2
   64  7240     4     8
   17  6174    10     8
   40  8296     1     3
   17  9628    10     9
   57  8234     5     7
   98  7373    10     3
   63  7467     5     8
   86  8468     7     7
   16  6131     7    10
   74  9733     1     1
   27  7281    10     8
   78  8920     5     6
    4  8855     1    10
   38  9843     4     9
    2  6965     1     7
   17  7589     3     3
   38  6918    10    10
   32  9928     4    10
   69  6091     7     2
   69  6370     3     9
   87  9875    10     6
   18  7212     8     8
   59  7662     9     4
   64  7661     4     8
   11  7578    10     3
    8  7624    10     8
   44  8985     7    10
   31  7396     4     4
   24  8729     6     4
   85  6218     3     7
   33  8617    10     5
   88  6010     9     2
    2  6418     2     4
   72  6955    10     7
    4  9665     1     1
   58  8678     9    10
   70  8354     1     9
   67  7173     5     9
   44  7188     5     6
   85  8512    10     9
   40  6947     8     9
   71  8496     5     4
   63  7474     4     4
   43  9829    10     8
    8  8381    10     2
   65  8465     7     1
   60  7459     5     1
   46  9325     2     2
   96  8435    10    10
   29  7577     1     2
   14  9722     4    10
   83  8351    10     6
   46  8815    10     9
   73  7425     5     4
   46  6053     5     4
   57  6435     2     1
   81  9075     4     1
   90  9065     1     3
   87  7857     5     4
    5  7845     9     5
   75  9309     5     9
   19  6516     6     9
   93  7882    10     7
   76  9754     7     3
   91  7497     8     6
   96  7588    10     7
   33  8474     7     3
   60  9878    10     5
   62  8788     6     5
   77  9689     1     8
   45  8431     9     3
    2  9762     3     3
   47  8226     5     2
    8  9931     5     7
   44  9632     3     1
   54  6648     7     3
   72  8438     3     7
    4  7133     9     2
  100  6015     8     4
   68  6914     2     7
   32  8736     1     3
   14  9763     3     4
   50  9291     3     3
   78  7593    10     2
   86  7229     9     7
   96  9371     8     6
   34  8054     1     3
   67  6346     2     8
   85  8477    10     8
   20  9938     8     7
   71  8218     3     2
   60  7828     7     7
   39  6495     5     5
   63  6142     2     9
   35  7624     5    10
   30  8019     2    10
   59  7757     3     5
   68  6139     1     2
   90  7938     2     4
   21  6586     8    10
   44  9854     1    10
   34  6410     2     7
   22  6390     3     3
   90  8122     8     1
   42  6382     8     3
   66  6064     7     3
   44  8796     4     3
   14  8846    10    10
   69  7223     5     5
   44  8838     3     7
   81  9786     4     7
  100  6001     5     8
   57  8642     7    10
   30  9119     6     9
   78  7620     6     9
   43  9898     6     7
   26  8532     5     4
   11  9701     7     2
   10  6285     9     4
