40 4
280 2110 10 1
125 2175 4 9
380 2080 2 9
175 1850 10 9
140 1880 5 5
260 2285 8 1
105 2155 9 4
160 2075 5 3
320 1995 6 2
335 1810 1 8
240 2130 4 2
500 2075 7 3
470 2145 2 7
435 2130 1 5
195 2100 7 3
90 1895 4 5
390 2075 3 2
400 2015 1 2
280 1880 7 2
360 2110 2 4
20 2020 6 9
350 2060 6 9
180 2115 5 6
230 2020 8 8
425 1905 7 9
155 2250 6 7
480 2070 7 5
150 2190 10 2
330 1820 4 1
460 1815 8 6
165 2255 5 4
90 2145 6 6
95 2205 3 1
170 1895 6 2
90 2200 5 10
20 1855 8 10
210 2280 5 6
470 1810 5 5
20 2085 4 4
445 2015 1 3
SETUP
0 75 95 75 80 55 65 35 100 65 85 40 60 95 80 75 70 65 110 75 75 50 75 105 75 50 45 80 110 65 95 85 55 70 50 40 65 85 60 15 55
0 0 85 55 80 55 65 35 95 65 70 40 60 65 75 75 70 65 90 25 25 30 35 105 50 50 45 80 80 65 65 30 55 60 45 40 65 75 60 15 45
0 60 0 75 75 55 10 35 95 65 35 40 60 40 45 70 70 65 90 60 60 50 70 100 45 50 45 80 60 35 65 85 50 55 50 40 65 75 45 15 55
0 75 55 0 80 55 55 35 90 65 80 40 60 85 80 75 70 65 70 35 75 40 45 90 75 50 45 60 85 65 95 75 55 10 50 40 25 70 60 15 35
0 55 60 35 0 55 40 35 40 25 85 40 45 65 40 35 30 25 75 70 70 45 50 25 45 15 45 40 50 65 85 70 55 45 35 40 60 50 60 15 50
0 20 45 60 25 0 55 35 65 50 80 40 60 85 40 60 55 50 100 45 45 50 55 50 35 40 45 65 75 45 75 50 55 70 50 40 65 75 60 15 55
0 50 75 75 80 55 0 35 85 65 85 40 60 30 60 60 70 65 85 55 55 50 65 105 35 50 45 80 50 25 55 80 40 70 50 40 65 65 40 15 55
0 75 80 50 80 55 65 0 100 65 85 40 60 65 80 65 70 65 75 75 75 50 40 105 40 50 10 80 75 30 60 85 55 45 15 40 60 70 60 15 55
0 40 20 65 80 55 30 35 0 65 55 40 30 60 45 30 70 65 80 60 60 40 45 100 5 25 45 60 80 55 85 55 55 70 50 40 65 10 45 15 55
0 30 55 10 70 45 65 25 35 0 60 40 60 45 15 10 5 0 50 45 55 20 25 50 40 50 35 15 70 55 60 55 55 20 10 40 35 45 60 15 35
0 75 70 75 80 55 65 35 100 65 0 40 60 95 55 75 70 65 55 75 75 50 75 75 75 50 45 80 110 65 95 85 55 70 50 40 65 85 60 15 55
0 75 85 75 80 55 65 35 90 65 60 0 60 60 80 75 70 65 110 75 75 50 75 105 75 10 45 80 90 65 95 85 55 55 50 40 65 75 60 15 55
0 50 75 70 55 30 65 35 95 65 85 40 0 95 70 70 70 65 60 75 75 50 75 80 45 50 45 80 75 65 95 25 55 70 50 40 65 85 60 15 55
0 65 90 70 70 45 55 35 95 65 80 30 60 0 30 70 65 65 110 75 75 40 75 85 75 40 45 80 95 65 85 75 40 70 50 40 65 85 60 5 55
0 60 85 40 80 55 65 10 65 65 85 40 55 75 0 40 35 65 85 70 75 50 50 55 50 50 20 80 85 40 70 80 55 50 25 40 65 75 60 15 55
0 20 75 35 80 55 65 25 55 65 50 40 60 35 15 0 50 65 90 45 45 10 15 70 55 50 35 80 80 55 65 45 55 45 40 40 60 65 60 15 55
0 25 50 5 80 55 60 30 30 65 55 40 60 40 20 5 0 65 75 40 50 15 20 75 35 50 40 65 85 60 70 50 55 15 45 40 30 40 60 15 30
0 30 55 10 70 45 65 25 35 60 60 40 60 45 15 10 5 0 50 45 55 20 25 70 40 50 35 70 75 55 60 55 55 20 40 40 35 45 60 15 35
0 40 65 20 75 50 65 35 45 10 70 40 60 55 25 20 15 10 0 55 65 30 35 60 40 30 45 25 80 65 70 65 40 30 20 40 45 55 60 15 45
0 70 80 30 80 55 65 35 100 65 45 40 60 75 55 65 70 65 90 0 65 5 10 105 50 50 45 80 70 65 60 40 55 40 50 40 55 70 55 15 55
0 15 80 30 80 55 65 35 70 50 45 40 60 75 50 60 55 50 90 0 0 5 10 95 50 50 45 65 70 65 60 40 55 40 20 40 55 70 55 15 55
0 75 75 75 80 55 65 35 100 65 40 35 60 95 80 75 70 65 95 65 65 0 75 105 55 45 45 80 70 65 55 35 55 70 50 40 65 65 60 15 55
0 70 75 20 80 55 65 35 100 65 85 40 60 95 80 65 70 65 85 55 55 50 0 100 40 50 45 80 105 65 95 85 55 30 50 40 45 70 60 15 55
0 45 70 60 50 50 65 35 80 65 75 25 20 60 40 25 70 65 80 45 45 35 40 0 65 35 45 80 95 65 90 45 55 40 50 40 55 60 55 15 25
0 35 65 60 80 55 65 30 75 65 75 40 25 60 40 25 70 65 85 55 55 35 40 95 0 20 40 55 100 60 90 50 55 65 45 40 65 55 40 15 50
0 70 80 75 75 50 65 35 100 65 85 40 60 50 80 75 70 65 105 75 75 50 75 100 75 0 45 80 110 65 95 85 55 45 50 40 60 70 60 15 55
0 75 90 65 80 55 65 35 90 55 85 40 60 95 70 65 60 55 105 75 75 50 55 105 75 50 0 70 85 65 70 75 55 70 50 40 65 80 60 15 55
0 60 85 40 70 55 65 35 65 65 85 40 60 75 55 40 35 65 110 75 75 50 55 95 70 50 45 0 110 65 95 70 55 50 50 40 65 75 60 15 55
0 75 30 60 80 55 40 20 85 50 65 40 60 40 65 60 55 50 85 60 60 50 60 100 60 50 30 65 0 50 80 85 40 65 35 25 65 85 45 15 55
0 45 50 55 80 55 60 10 80 65 85 40 35 70 50 35 50 65 60 65 65 45 50 90 10 30 20 65 45 0 30 60 55 55 25 40 65 40 50 15 55
0 75 20 75 80 55 30 35 85 65 55 40 60 55 65 70 70 65 75 75 75 50 65 105 65 50 45 80 15 55 0 85 55 60 50 40 35 10 60 15 45
0 55 85 75 80 55 65 35 95 65 85 40 45 80 60 45 70 65 105 50 50 50 60 105 20 40 45 75 110 65 95 0 55 70 50 40 65 75 60 15 55
0 65 90 75 70 45 65 35 100 65 85 40 60 95 40 75 70 65 110 75 75 50 75 95 75 50 45 80 110 65 95 55 0 70 50 40 65 85 60 15 55
0 75 45 75 80 55 45 35 80 65 80 40 60 75 80 75 70 65 60 65 70 50 75 80 75 50 45 80 75 65 95 85 55 0 50 40 15 60 55 15 25
0 70 90 35 80 55 65 35 100 65 85 40 60 95 75 60 70 65 105 70 75 50 75 105 35 50 45 80 60 65 95 85 55 45 0 40 60 85 60 15 55
0 50 75 35 80 55 65 35 60 25 80 40 60 70 40 35 30 25 75 35 35 40 45 75 60 50 45 40 95 65 85 70 15 45 35 0 60 70 20 15 55
0 70 30 60 80 55 40 35 85 50 65 40 60 70 65 60 55 50 85 55 55 50 65 100 75 50 45 65 90 65 95 85 40 25 50 25 0 45 40 15 10
0 70 10 70 80 55 20 35 95 65 45 40 60 50 55 60 65 60 70 70 70 50 75 95 55 50 45 80 70 45 75 85 55 65 50 40 65 0 55 15 55
0 30 95 45 65 55 65 35 85 65 60 40 45 60 65 60 70 65 80 15 15 20 25 90 65 50 45 80 85 65 75 55 55 55 35 40 65 85 0 15 55
0 60 85 75 65 40 50 35 100 65 75 25 60 80 80 75 70 65 110 75 75 35 75 90 75 35 45 80 100 65 90 70 55 70 50 40 65 85 60 0 55
0 60 45 75 80 55 55 35 75 65 80 35 60 85 80 70 70 65 75 45 45 50 55 95 75 45 45 80 90 65 95 85 55 15 50 40 30 35 30 15 0
