40 4
9 376 2 5
90 221 5 1
99 373 4 8
90 222 8 3
69 354 3 2
100 275 8 8
29 290 4 5
84 392 4 1
51 344 10 10
3 290 3 3
53 206 5 10
30 395 5 3
43 330 5 1
20 213 10 1
10 270 10 10
17 291 4 3
61 234 9 6
27 337 4 7
16 250 3 7
32 320 10 1
46 300 6 3
54 256 5 10
66 364 4 4
70 203 10 4
72 378 5 9
81 288 10 4
34 216 6 8
25 325 6 2
37 304 8 10
43 239 4 2
71 213 10 1
97 245 1 4
70 374 8 9
29 233 3 9
6 313 8 7
87 267 3 3
27 338 10 9
80 262 1 10
47 253 6 5
1 354 1 1
SETUP
0 14 10 3 19 9 16 5 10 15 11 18 9 13 15 12 9 13 10 11 10 10 7 14 7 9 11 9 16 10 17 5 4 13 10 17 15 10 13 11 3
0 0 10 3 17 9 16 5 7 15 4 15 9 13 15 12 6 7 10 11 10 4 7 11 7 9 3 9 16 10 15 5 4 8 10 17 15 10 10 11 3
0 14 0 3 10 9 11 5 4 15 11 12 9 13 15 12 3 13 8 11 10 2 7 9 7 7 1 9 13 10 16 5 4 13 10 17 13 10 13 11 3
0 14 10 0 16 9 16 5 10 15 11 18 6 13 15 12 9 13 10 11 10 10 7 14 7 9 11 9 13 10 14 2 4 13 10 17 15 10 13 11 3
0 14 10 3 0 9 1 5 10 15 4 9 9 13 15 12 9 13 10 11 10 10 7 14 7 9 11 9 3 10 13 5 4 13 10 17 15 9 13 9 3
0 14 10 3 13 0 14 5 10 15 11 11 9 13 15 12 9 13 10 11 10 10 7 9 7 9 11 9 16 10 13 5 4 13 10 17 15 10 13 11 3
0 14 10 3 19 9 0 5 10 15 11 18 9 13 14 12 9 13 10 11 9 10 7 14 7 9 11 9 16 10 17 5 4 13 10 16 15 10 12 11 3
0 14 10 3 19 9 16 0 5 15 11 13 9 13 15 12 4 13 9 11 10 9 7 10 7 4 11 9 15 10 17 5 4 9 10 17 15 9 12 11 3
0 13 10 3 15 9 16 5 0 15 11 8 9 13 14 10 3 13 4 11 10 4 7 8 7 3 11 9 10 10 16 5 4 13 7 15 15 7 13 11 3
0 14 10 3 12 9 13 5 10 0 11 18 9 13 15 12 9 13 10 11 10 1 7 14 7 9 11 9 15 10 17 5 4 13 10 12 8 10 13 11 3
0 13 10 3 19 9 16 5 10 15 0 18 9 13 15 12 9 13 10 11 10 10 7 14 7 9 11 9 16 10 11 5 4 13 10 17 15 10 13 11 3
0 8 10 3 19 9 16 5 8 15 11 0 9 13 14 12 7 11 10 11 10 9 7 14 7 9 8 9 11 10 17 5 4 13 10 16 15 10 6 11 3
0 14 4 3 10 8 11 5 8 15 5 16 0 7 15 12 7 7 10 11 10 6 1 13 7 9 5 9 7 10 11 5 4 13 10 17 15 10 13 11 3
0 14 10 3 15 9 8 5 7 14 11 15 9 0 9 12 6 12 10 11 4 9 7 14 3 9 9 9 16 10 17 5 4 13 10 11 15 10 7 11 3
