  350
   68 15229     8     3
   70 13163     2     8
    5 13988     4     2
   31 14099     7     8
   32 13330     1    10
   28 13608    10     2
   94 13334     9    10
   27 13617     9     8
   83 13250     3     5
    3 14743     7     6
   93 15286     1     5
   82 15197     8     1
  100 12852     1    10
   69 14526     7     1
   11 15390     1     7
   88 13628     5     7
   80 13029     2     2
   14 15062     2     4
   47 14051     9     3
   80 14138     2     6
   25 13036     3     5
   18 14367     5     5
   93 13829     9     5
   42 14993     8     5
   63 14301     6     7
   84 15240     3     7
   10 12926     3    10
   18 16387     4     9
   76 15330     6    10
   60 13029     1     3
   13 13879     8    10
   44 14146     4     2
   30 13427     4    10
   18 15102     3     1
   75 15481     2    10
   61 13993     4    10
   45 15946     5     3
   69 16050     2     9
   88 14846     5     7
   28 12782     9     7
   71 14380     8     5
   80 13718     5     1
    9 15215     6     8
   70 14467     1     5
   49 15480     1     2
   20 14191     8     5
   58 15331     5     1
   28 15745     4     3
   34 12840     9     8
    5 12969     6     3
    7 13469     6     9
   59 13111     1     3
   22 14571     2     7
  100 14533     4     3
  100 15339    10     8
   85 16108     9     3
   83 13360     8    10
   10 15501     2     8
    2 16081     2     2
   59 15926     3    10
   69 15765     4    10
   14 13546     1     2
    3 13658     8     2
   98 12779    10    10
   32 15883     6     2
   77 16374     2     1
   59 14008     3     9
   77 15415    10     4
   45 16011     3    10
   46 16089     9     5
    4 15433    10     1
   15 13977     3     4
   26 13393     3     6
   13 14234     7     9
   85 15680     3     9
   74 16109     6     8
   32 15661     4     3
   42 14598     9     9
    2 15440     9    10
   66 15736     2    10
   47 14802     4     1
    9 16145     6     9
   24 16082     4     3
   68 12959     5     8
    8 14265     9     1
   24 15008     3    10
   52 16302     3     1
   90 14860     8     1
   33 14095     7     7
   53 15969     6     3
   49 14372     3     1
    1 13447     2     7
   67 13102     9     4
   51 15265     2     2
   99 13461     1     6
   99 16220     4     6
   28 15226     3     3
   58 14704     6     4
   75 15222     5     9
   72 14823     6     2
    3 14380     4     9
   78 14242     4    10
   87 16036     8     6
   28 15009     9     5
   91 15711    10     8
   72 15303     2     5
    2 14704     6     2
   23 14958     5    10
   14 13487    10     3
    3 13731     6     2
   88 14281     6    10
   60 15524     4     4
   11 13462     2    10
   12 13950     1     2
   27 15719    10     2
   18 14962     2     1
   35 16193     3     1
   79 15608     5     2
    8 13408    10     1
   67 13874     1     8
   32 15164    10     5
   56 15016     4     1
   68 14557     3     4
   98 15501    10     8
    6 13868     5     3
   67 15254     5    10
   96 15308     5     3
   33 16329     8     5
