60 4
665 3206 6 1
581 3493 2 1
175 4585 9 10
126 5453 6 4
42 3535 3 3
238 4886 10 5
525 3941 9 1
476 4634 8 9
322 4312 6 8
602 5439 7 8
693 4466 5 3
504 4039 7 10
434 4935 10 9
490 5390 3 1
483 4249 6 10
490 3276 10 1
560 4592 5 2
581 5418 5 4
280 4620 10 5
294 4760 3 5
427 5229 2 5
574 3899 6 9
126 4613 2 4
119 5334 1 4
91 4851 6 8
98 5313 9 10
77 4095 1 1
700 4291 7 8
238 3136 1 6
420 3927 5 4
490 5383 8 8
329 4137 3 5
350 4018 3 9
231 4578 5 10
588 4634 6 2
259 3927 7 10
315 4963 1 5
644 3682 2 7
574 3584 2 9
434 4144 7 2
413 5579 7 1
616 5614 1 7
21 3332 3 7
623 3486 5 9
210 5299 2 6
14 4536 2 3
161 3983 2 3
35 4424 10 2
448 4403 10 9
133 4732 8 3
308 5684 4 8
532 3073 2 1
693 4942 9 7
196 3458 10 9
245 4417 8 10
133 3150 1 3
581 3850 1 2
77 5684 7 7
266 5614 1 3
266 5306 1 4
SETUP
0 28 49 35 56 28 28 7 7 49 49 35 28 14 35 49 42 35 35 35 14 35 35 35 21 28 21 28 7 63 63 42 35 49 42 56 49 35 56 49 21 49 35 42 56 35 42 35 28 42 28 49 42 42 42 49 28 42 49 14 49
0 0 231 217 210 231 49 224 217 217 238 231 224 224 203 224 49 217 231 56 224 231 56 245 49 210 231 224 224 238 63 35 231 245 238 245 217 245 217 203 224 210 56 231 224 203 56 203 217 231 238 63 231 42 189 224 49 203 70 49 231
0 203 0 238 224 203 224 217 210 217 49 224 28 217 42 56 196 231 224 238 217 245 210 63 203 231 238 35 210 70 252 224 210 196 252 56 245 56 245 56 224 42 203 217 231 210 238 49 224 189 224 217 217 231 217 35 196 49 252 217 245
0 224 252 0 217 224 245 70 35 238 217 56 224 42 231 252 224 56 238 238 35 231 217 217 231 35 63 224 231 231 259 238 42 56 238 252 21 238 252 217 28 238 231 49 238 231 252 231 217 210 224 217 217 231 217 224 224 231 245 217 14
0 217 217 217 0 42 217 210 217 70 210 217 196 224 217 231 217 224 42 203 224 63 217 238 196 210 238 231 63 245 245 217 217 238 63 252 231 224 63 231 217 238 231 217 21 42 231 210 35 49 56 217 35 224 49 196 224 224 238 224 231
0 182 224 217 28 0 224 224 203 49 231 224 224 210 203 217 196 217 56 231 210 49 189 224 217 210 231 224 49 238 231 210 203 224 56 238 217 210 49 203 196 210 217 231 42 28 231 203 42 35 42 238 14 217 14 224 224 203 245 210 224
0 42 245 224 224 217 0 182 210 224 238 224 224 217 196 210 42 203 217 56 217 231 49 238 42 217 245 224 224 231 49 21 224 238 238 231 224 245 224 210 231 217 42 224 224 189 56 210 196 217 231 56 231 28 196 224 35 210 56 35 238
0 238 245 63 245 238 196 0 49 245 238 63 245 56 217 224 238 49 231 231 56 252 231 238 238 56 91 238 224 245 245 217 56 84 259 245 63 252 245 224 63 231 217 70 224 210 252 231 217 238 245 245 238 224 217 224 231 224 245 231 63
0 203 245 35 224 203 231 63 0 217 217 49 203 7 217 224 217 56 203 217 14 210 210 217 224 42 63 196 224 245 245 224 35 70 224 224 49 231 238 224 42 224 224 42 231 224 217 217 203 217 217 224 217 217 210 224 217 217 217 182 42
0 217 238 217 42 42 224 203 210 0 224 217 196 210 203 231 210 217 35 224 210 56 210 203 189 224 238 217 49 231 231 203 210 238 63 245 224 238 56 224 217 224 217 203 42 35 210 224 49 14 42 196 56 203 35 217 210 217 231 210 210
