taskSetId	setupType	scaleLevel	nominalMultiplier	targetMean	actualMean	meanError	cap	maximum	capHitRate	triangleViolations	floydChangedArcs	withinMean	betweenMean	rawMean	closedMean	firstFloydChangedArcs	calibrationScale	withinPairRatio	randomLocation	baseFamilySwitchPenalty	familySeparationRatio	familyByJob	workloadScale
n050-set01	family	base	1	26.100000000	26.103265306	0.003265306	52	42	0.000000000	0	0	7.348214286	34.929171669	97.092000000	97.092000000	0	0.263549804688	0.320000000	26.129713848	104.400000000	4.753423119	0,2,1,1,1,0,0,1,2,0,2,1,1,2,0,2,2,1,1,0,0,0,0,2,2,2,2,1,0,2,0,0,1,0,1,1,0,1,2,1,2,1,2,2,2,1,0,0,1,0	1.000000000000
n050-set01	family	medium	10	271.040000000	271.620816327	0.580816327	542	437	0.000000000	0	0	76.855867347	363.274909964	97.092000000	97.092000000	0	0.263549804688	0.320000000	26.129713848	104.400000000	4.753423119	0,2,1,1,1,0,0,1,2,0,2,1,1,2,0,2,2,1,1,0,0,0,0,2,2,2,2,1,0,2,0,0,1,0,1,1,0,1,2,1,2,1,2,2,2,1,0,0,1,0	10.384674329502
n050-set01	family	high	20	521.520000000	522.065306122	0.545306122	1043	840	0.000000000	0	0	146.964285714	698.583433373	97.092000000	97.092000000	0	0.263549804688	0.320000000	26.129713848	104.400000000	4.753423119	0,2,1,1,1,0,0,1,2,0,2,1,1,2,0,2,2,1,1,0,0,0,0,2,2,2,2,1,0,2,0,0,1,0,1,1,0,1,2,1,2,1,2,2,2,1,0,0,1,0	19.981609195402
n050-set02	family	base	1	26.870000000	26.878367347	0.008367347	53	43	0.000000000	0	0	7.573979592	35.962785114	99.956195918	99.956195918	0	0.263793945313	0.320000000	26.984628413	107.480000000	4.748202009	0,2,1,2,1,1,2,1,0,2,0,1,1,1,0,2,0,0,1,0,1,2,2,2,1,1,1,2,2,0,0,1,0,1,0,2,2,1,0,0,0,2,0,1,2,2,2,1,0,0	1.000000000000
n050-set02	family	medium	10	271.930000000	272.511020408	0.581020408	543	436	0.000000000	0	0	77.093112245	364.472388956	99.956195918	99.956195918	0	0.263793945313	0.320000000	26.984628413	107.480000000	4.748202009	0,2,1,2,1,1,2,1,0,2,0,1,1,1,0,2,0,0,1,0,1,2,2,2,1,1,1,2,2,0,0,1,0,1,0,2,2,1,0,0,0,2,0,1,2,2,2,1,0,0	10.120208410867
n050-set02	family	high	20	539.960000000	540.615102041	0.655102041	1079	865	0.000000000	0	0	152.602040816	723.209483794	99.956195918	99.956195918	0	0.263793945313	0.320000000	26.984628413	107.480000000	4.748202009	0,2,1,2,1,1,2,1,0,2,0,1,1,1,0,2,0,0,1,0,1,2,2,2,1,1,1,2,2,0,0,1,0,1,0,2,2,1,0,0,0,2,0,1,2,2,2,1,0,0	20.095273539263
n050-set03	family	base	1	25.510000000	25.500816327	-0.009183673	51	41	0.000000000	0	0	7.257653061	34.085834334	94.897404082	94.897404082	0	0.263458251953	0.320000000	25.512929000	102.040000000	4.696536752	2,2,0,1,0,1,1,1,1,2,2,0,0,2,0,1,2,1,2,2,0,1,0,0,2,0,1,1,0,2,2,1,1,1,2,0,2,0,2,0,2,1,1,0,0,2,0,0,1,1	1.000000000000
n050-set03	family	medium	10	273.090000000	273.448571429	0.358571429	546	439	0.000000000	0	0	78.170918367	365.343937575	94.897404082	94.897404082	0	0.263458251953	0.320000000	25.512929000	102.040000000	4.696536752	2,2,0,1,0,1,1,1,1,2,2,0,0,2,0,1,2,1,2,2,0,1,0,0,2,0,1,1,0,2,2,1,1,1,2,0,2,0,2,0,2,1,1,0,0,2,0,0,1,1	10.705213641709
n050-set03	family	high	20	523.090000000	523.529795918	0.439795918	1046	841	0.000000000	0	0	149.530612245	699.529411765	94.897404082	94.897404082	0	0.263458251953	0.320000000	25.512929000	102.040000000	4.696536752	2,2,0,1,0,1,1,1,1,2,2,0,0,2,0,1,2,1,2,2,0,1,0,0,2,0,1,1,0,2,2,1,1,1,2,0,2,0,2,0,2,1,1,0,0,2,0,0,1,1	20.505292042336
n050-set04	family	base	1	21.700000000	21.700000000	0.000000000	43	35	0.000000000	0	0	6.209183673	28.989795918	80.724000000	80.724000000	0	0.262695312500	0.320000000	21.760784754	86.800000000	4.668857847	0,1,1,1,2,1,0,0,2,0,2,1,1,2,0,2,2,0,1,2,0,1,1,0,2,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,2,0,0,1,2,0,2,1,0,1	1.000000000000
