60 4
890 5507 11317 8 4
450 1971 8247 2 3
640 5523 11145 8 10
528 1859 7843 2 7
910 1868 7620 7 6
560 11100 16740 10 7
9 0 5207 2 4
432 3797 9493 2 8
1020 0 4942 9 2
32 3637 9719 7 10
432 4326 10416 6 7
140 50 6450 9 8
374 11303 17377 4 8
434 5951 12223 2 2
156 1434 7098 6 1
143 1974 8274 1 1
756 8165 14107 2 8
441 4514 10480 8 8
54 0 5725 8 9
143 3309 9231 4 7
396 2138 8422 5 5
150 979 7181 9 4
624 965 7043 8 2
900 2754 8786 4 2
225 5086 11474 4 9
704 953 6711 6 9
880 2163 7845 3 3
460 3060 8754 1 10
22 9347 15587 5 2
99 3241 9065 5 7
438 2678 8554 9 4
1155 4863 11237 2 10
664 1295 7249 7 5
528 2411 8749 6 7
810 3623 9705 2 5
560 1788 7442 6 3
882 7187 13339 10 5
1235 3782 9930 10 3
209 3063 9193 8 7
204 427 6293 9 3
636 1994 7946 9 7
585 10033 16063 8 10
434 5528 11720 3 5
369 4294 10430 10 1
803 8470 14826 2 9
897 2732 8692 4 9
810 1656 7560 9 2
230 8325 14019 2 8
336 0 5499 2 1
910 4902 11192 10 10
215 569 6459 1 1
540 4426 10774 2 10
125 7603 13275 1 3
924 1710 7518 8 6
602 0 5464 7 6
1036 0 5190 6 10
490 2581 8903 8 4
558 3752 9592 5 3
715 6165 12175 10 8
576 2846 8536 5 10
SETUP
0 177 128 89 235 216 20 157 235 187 177 245 216 255 196 128 187 49 147 147 265 108 157 216 226 324 157 206 441 187 275 255 167 226 324 343 245 255 216 206 265 59 265 275 147 284 284 69 147 226 206 245 216 343 245 275 324 255 79 216 245
0 0 235 255 177 226 245 226 304 128 206 265 294 79 314 147 245 275 304 206 235 216 216 187 363 382 187 147 275 59 167 304 187 343 216 343 118 206 382 284 412 216 216 284 128 118 245 235 324 235 275 294 167 245 265 128 196 324 235 235 118
0 206 0 216 187 284 89 284 265 275 245 226 226 275 128 167 255 108 128 216 294 245 40 245 294 206 284 275 402 255 343 187 147 108 353 284 216 235 206 196 177 40 333 177 284 314 314 59 206 206 294 226 196 255 275 324 382 235 59 284 304
0 265 294 0 363 392 275 226 353 314 275 412 324 333 373 226 255 304 314 216 284 363 314 284 412 461 79 226 470 108 343 382 314 343 265 402 314 275 392 353 451 226 265 343 382 373 304 245 392 147 382 324 245 392 167 382 451 382 216 431 167
0 20 147 265 0 235 216 235 304 138 216 275 118 89 226 167 255 245 147 216 216 226 177 196 304 353 206 167 284 69 177 255 187 245 187 324 128 216 235 206 314 177 187 294 138 128 226 89 314 245 284 118 177 255 89 138 206 255 98 245 128
0 118 206 294 284 0 157 138 353 245 294 324 245 196 304 255 196 187 196 167 147 226 138 98 353 304 138 265 255 167 284 265 255 304 206 265 69 324 304 226 373 138 118 314 245 235 167 157 275 226 392 235 284 196 265 245 314 275 157 187 226
0 226 108 265 216 196 0 235 216 226 245 226 196 294 177 118 167 30 128 138 245 314 138 196 216 314 314 187 441 226 265 235 157 206 373 324 235 235 206 187 245 40 255 255 343 333 265 59 128 216 294 226 196 363 304 324 314 235 59 206 284
0 226 304 343 216 343 206 0 226 333 304 422 226 304 265 304 363 226 324 333 422 431 343 382 216 510 412 373 490 284 373 314 353 412 392 412 333 373 382 275 441 235 314 431 353 343 216 255 324 412 353 324 373 461 294 353 422 314 255 402 333
0 392 363 294 382 373 412 392 0 392 412 382 98 470 314 353 333 431 441 402 402 363 382 353 275 519 363 353 490 363 304 265 138 461 402 470 431 343 382 284 363 363 392 245 392 382 226 382 519 196 284 373 304 441 294 422 500 265 382 324 294
0 69 177 314 59 255 245 294 353 0 245 333 177 147 255 216 128 275 196 275 265 177 216 255 363 353 255 216 343 128 226 284 226 284 235 382 187 265 275 255 343 196 235 333 196 187 284 128 196 147 333 177 226 157 138 196 265 284 128 304 187
