  150
   32   760     1     4
   55   321     2     5
   64   306     6     2
   54   624     6     3
   10   262     6     4
   73   144    10     7
    7   506     2    10
   97   711     2     9
   88   639     6     6
   62   734     4     6
   71    93     9    10
   53   582     4     1
   63    48    10     6
   47   182     7     8
   40   544     4     5
   38    31     1     1
   46   307     6     9
   63   260     9     3
   22    33     1     3
   22   753     3     4
   61   473     7     6
   71   630     7     3
   26   151     7     1
   69   773    10     7
   76   682     1     6
   26   589     4     1
    6   139     3     8
   74   636    10     9
   77   395     4     8
   35   624     9     8
   10   400     4     4
    8   380     4     1
   89   170     1     2
   73   706     1     5
   62   230     9     4
   99   433     8     6
   45    76    10     2
   69   737     2     3
   96   370     1     5
   33   716     6     7
   30   696     7     9
   67   463    10     5
   85   524     1     7
   93   744     6     4
   13   646     8     2
   24   293     7     2
   31     0     8     5
   58   178     6     1
   87   554     5     5
   52    34     1     8
   79   157    10     4
   47   252     2    10
   22   665     7    10
    5   308     6     5
   15   251     3     6
   97   573     9     6
   31   123     1     5
   21   390     5     3
   70   435     8     5
    7   518     4     2
   55   240     6    10
   79    60     4     8
   15   123     7     2
   44   410     6     2
   52   767     6     3
   76   354     7     6
   43    69     5     8
   97    68     6     4
   44   316     8     9
   38   439     5     2
   29     9     3     1
   74   237     5     7
    4   127     6     6
   14   533     5     8
   66   207     2    10
   17   773     4     8
   38    52     1    10
   96   208    10     4
   75   176     9     9
   24   606     8     4
   48   243     2     1
   53   333    10     3
   70    84     9     3
   69   133     8     1
   58   642     6     7
   85   336     3     8
   65   707     6     7
   89   765     6     1
    5   726     8    10
   35   367     5     1
   95   508    10     2
   60   192     5    10
   14   428     8     9
   10   632     8     4
    3   602     2     2
   66   420     4     1
   85   211     7    10
   45   671     6     9
   63   488     1     5
   29   527     6     8
   83   335     2    10
   92   498     5     5
    3   765     2     4
   87   463     8     6
    5   257     9     3
   69   197     4     4
    3   462     3     4
   42   309     2     2
   65   406     5     8
   77   638     3     2
   65   141     9     5
   12   649     6     9
   30   197     2     4
   35   226     9     7
   80     7     5    10
   88    65     7    10
   19   562     1     5
   45   714    10     6
   76    55     5     1
   24   514    10     4
   79   307     6     6
   71   564     6     3
   83   706     4     4
   93   735     4     5
   80   422     3     7
   85   534     5     5
   58   380     9     5
   64   633     1     6
   30   431     2     3
   21    94     1    10
   93   386     7     3
   12   767     4     3
   12   593     5     4
   96   376     8     7
   98   455     1     9
   17    75     5     7
   64   574     3     1
    1   142     5     2
   58   385     8     8
   28   205     7     8
   78     6     7     4
   23   526     6     3
   39    79     4     7
    7   204     8     7
   57   753     4     9
   19    87     8     6
   95   269     7     7
   75   540     7     3
   63    26     9     1
   70   325     1     7
